problem,n,mode,method,start_id,f_final,success,num_iters,num_cg_iters,grad_norm,time,rate,n_plateau
chained_serpentine,1000,exact,tn,0,5.975621357049164e-29,1,1903,38605,1.098669884052499e-13,91.95870009995997,0.12261413121362193,10
chained_serpentine,1000,exact,tn,1,3.467722946909228e-19,1,1355,28857,8.369468533108732e-09,72.33342040004209,0.2498523807312263,5
chained_serpentine,1000,exact,tn,2,6.000328604353241e-22,1,1732,34514,2.4720880286974157e-10,85.83825510006864,0.15179449105148649,5
chained_serpentine,1000,exact,tn,3,2.8438397711133018e-21,1,2230,36365,7.579285149441595e-10,97.96144880005158,0.257878043419825,8
chained_serpentine,1000,exact,tn,4,2.498961377378259e-16,1,2212,35720,2.1259408117898818e-07,88.6744822000619,0.39116210745690094,6
chained_serpentine,1000,exact,tn,5,1.8413507907296438e-13,1,2108,35124,7.597003956019388e-07,87.04726900008973,1.057174766847679,6
